LAB_ID,CTDEEP LabID,STA_SEQ,Station_Name,YLat,XLong,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,SampleMo,SampleYr,TaxonNameCurrent,VisitNum
6448.1-24,12-B-020,14720,Green Fall River,41.4568,-71.8169,1,Riffle,KN2M2,First,EcoAnalysts,Zavrelimyia ,L,1,9/19/2012,9,2012,Zavrelimyia,6448.1-24_9_19_2012_1_First
620.1-122,14-B-132,14592,Fenton River,41.7925,-72.21,1,Riffle,KN2M2,First,WAA,Zavrelimyia ,L,1,10/8/2014,10,2014,Zavrelimyia,620.1-122_10_8_2014_1_First
6448.1-9,12-B-008,14288,Mattabesset River,41.6189,-72.7127,1,Riffle,KN2M2,First,EcoAnalysts,Xenochironomus xenolabis,L,1,9/17/2012,9,2012,Xenochironomus xenolabis,6448.1-9_9_17_2012_1_First
6448.2-29,12-B-064,16066,Farmington River,41.914,-72.765,1,Riffle,KN2M2,First,EcoAnalysts,Xenochironomus xenolabis,L,1,10/2/2012,10,2012,Xenochironomus xenolabis,6448.2-29_10_2_2012_1_First
14484,13-B-129,16130,Menunketesuck River,41.3072,-72.5056,1,Riffle,KN2M2,First,WAA,Xenochironomus xenolabis,L,1,10/16/2013,10,2013,Xenochironomus xenolabis,14484_10_16_2013_1_First
14298,13-B-004,14316,Naugatuck River,41.6159,-73.0579,1,Riffle,KN2M2,First,WAA,Xenochironomus xenolabis,L,1,9/16/2013,9,2013,Xenochironomus xenolabis,14298_9_16_2013_1_First
25787,11-B-029,15530,Weekeepeemee River,41.5575,-73.2155,1,Riffle,KN2M2,First,EcoAnalysts,Wormaldia,L,1,10/17/2011,10,2011,Wormaldia,25787_10_17_2011_1_First
25905,11-B-088,15035,Spruce Brook,41.7472,-73.115,1,Riffle,KN2M2,First,EcoAnalysts,Wormaldia,L,1,10/26/2011,10,2011,Wormaldia,25905_10_26_2011_1_First
25827,11-B-070,16431,Sprain Brook,41.5696,-73.2259,1,Riffle,KN2M2,First,EcoAnalysts,Wormaldia,L,1,10/24/2011,10,2011,Wormaldia,25827_10_24_2011_1_First
26033,11-B-171,14740,Quaker Brook,41.512349,-73.52695,1,Riffle,KN2M2,First,EcoAnalysts,Wormaldia,L,1,11/16/2011,11,2011,Wormaldia,26033_11_16_2011_1_First
25997,11-B-134,16387,Hurricane Brook,42.033,-72.9207,1,Riffle,KN2M2,First,EcoAnalysts,Wormaldia,L,7,11/10/2011,11,2011,Wormaldia,25997_11_10_2011_1_First
620.2-121,15-B-109,15719,Blackwell Brook,41.7843,-71.9626,1,Riffle,KN2M2,First,WAA,Wiedemannia,L,1,10/6/2015,10,2015,Wiedemannia,620.2-121_10_6_2015_1_First
620.2-096,15-B-085,14470,Tankerhoosen River,41.8272,-72.464,1,Riffle,KN2M2,First,WAA,Wiedemannia,L,1,10/1/2015,10,2015,Wiedemannia,620.2-096_10_1_2015_1_First
6448.4-1,12-B-090,16846,MILL CREEK,41.4644,-72.5092,1,Riffle,KN2M2,First,EcoAnalysts,Unniella multivirga,L,2,10/9/2012,10,2012,Unniella multivirga,6448.4-1_10_9_2012_1_First
6448.3-29,12-B-089,16505,BIBLE ROCK BROOK,41.4975,-72.6064,1,Riffle,KN2M2,First,EcoAnalysts,Unniella multivirga,L,1,10/9/2012,10,2012,Unniella multivirga,6448.3-29_10_9_2012_1_First
6448.4-27,12-B-111,15179,Eightmile River,41.4671,-72.3372,1,Riffle,KN2M2,First,EcoAnalysts,Unniella multivirga,L,2,10/12/2012,10,2012,Unniella multivirga,6448.4-27_10_12_2012_1_First
6448.4-27,12-B-111,15179,Eightmile River,41.4671,-72.3372,1,Riffle,KN2M2,First,EcoAnalysts,Unniella multivirga,P,1,10/12/2012,10,2012,Unniella multivirga,6448.4-27_10_12_2012_1_First
6448.6-2,12-B-143,16501,BELDEN BROOK,42.0122,-72.8775,1,Riffle,KN2M2,First,EcoAnalysts,Unniella multivirga,L,1,10/17/2012,10,2012,Unniella multivirga,6448.6-2_10_17_2012_1_First
620.1-144,14-B-159,14601,Broad Brook,41.5632,-71.9834,1,Riffle,KN2M2,First,WAA,Unniella multivirga,L,1,10/14/2014,10,2014,Unniella multivirga,620.1-144_10_14_2014_1_First
620.1-137,14-B-152,15776,East Branch Mount Hope,41.881,-72.16,1,Riffle,KN2M2,First,WAA,Unniella multivirga,L,1,10/9/2014,10,2014,Unniella multivirga,620.1-137_10_9_2014_1_First
620.1-106,14-B-114,14606,Middle River,41.9659,-72.3278,1,Riffle,KN2M2,First,WAA,Unniella multivirga,L,3,10/7/2014,10,2014,Unniella multivirga,620.1-106_10_7_2014_1_First
25737,11-B-011,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,3,10/11/2011,10,2011,Tvetenia vitracies group,25737_10_11_2011_1_First
25463,11-B-002,14450,Shepaug River,41.5489,-73.3308,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/19/2011,9,2011,Tvetenia vitracies group,25463_9_19_2011_1_First
25645,11-B-006,14450,Shepaug River,41.5489,-73.3308,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,9/27/2011,9,2011,Tvetenia vitracies group,25645_9_27_2011_1_First
25646,11-B-007,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,9/27/2011,9,2011,Tvetenia vitracies group,25646_9_27_2011_1_First
25646,11-B-007,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,3,9/27/2011,9,2011,Tvetenia vitracies group,25646_9_27_2011_1_First
25742,11-B-020,16323,Coginchaug River,41.5394,-72.6858,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/12/2011,10,2011,Tvetenia vitracies group,25742_10_12_2011_1_First
25805,11-B-040,14445,Saugatuck River,41.1693,-73.367,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/18/2011,10,2011,Tvetenia vitracies group,25805_10_18_2011_1_First
25789,11-B-031,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,P,1,10/17/2011,10,2011,Tvetenia vitracies group,25789_10_17_2011_1_First
25789,11-B-031,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,5,10/17/2011,10,2011,Tvetenia vitracies group,25789_10_17_2011_1_First
25790,11-B-032,14366,Norwalk River,41.246,-73.4341,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/17/2011,10,2011,Tvetenia vitracies group,25790_10_17_2011_1_First
25793,11-B-035,14226,Harbor Brook,41.5314,-72.8218,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/17/2011,10,2011,Tvetenia vitracies group,25793_10_17_2011_1_First
25785,11-B-027,14221,Hammonasset River,41.3278,-72.6116,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/13/2011,10,2011,Tvetenia vitracies group,25785_10_13_2011_1_First
25786,11-B-028,16131,Chatfield Hollow Brook,41.3314,-72.595,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/13/2011,10,2011,Tvetenia vitracies group,25786_10_13_2011_1_First
25801,11-B-047,15087,Muddy River,41.3668,-72.8543,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/18/2011,10,2011,Tvetenia vitracies group,25801_10_18_2011_1_First
25901,11-B-084,14482,West Branch Naugatuck River,41.8181,-73.1441,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/26/2011,10,2011,Tvetenia vitracies group,25901_10_26_2011_1_First
25866,11-B-083,14404,Pomperaug River,41.4717,-73.256,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/26/2011,10,2011,Tvetenia vitracies group,25866_10_26_2011_1_First
25837,11-B-078,14414,Quinnipiac River,41.4501,-72.8407,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,3,10/25/2011,10,2011,Tvetenia vitracies group,25837_10_25_2011_1_First
25906,11-B-089,14316,Naugatuck River,41.6159,-73.0579,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/26/2011,10,2011,Tvetenia vitracies group,25906_10_26_2011_1_First
25936,11-B-091,14413,Quinnipiac River,41.528244,-72.856272,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,9,10/27/2011,10,2011,Tvetenia vitracies group,25936_10_27_2011_1_First
25902,11-B-085,14179,East Branch Naugatuck River,41.797345,-73.115842,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,10/26/2011,10,2011,Tvetenia vitracies group,25902_10_26_2011_1_First
25904,11-B-087,14319,Naugatuck River,41.7361,-73.1054,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/26/2011,10,2011,Tvetenia vitracies group,25904_10_26_2011_1_First
25903,11-B-086,14341,Naugatuck River,41.7891,-73.1145,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/26/2011,10,2011,Tvetenia vitracies group,25903_10_26_2011_1_First
25831,11-B-066,14358,Noroton River,41.0898,-73.5152,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,10/24/2011,10,2011,Tvetenia vitracies group,25831_10_24_2011_1_First
25977,11-B-115,14370,Norwalk River,41.1909,-73.4297,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,11/8/2011,11,2011,Tvetenia vitracies group,25977_11_8_2011_1_First
25989,11-B-127,14317,Naugatuck River,41.4435,-73.0642,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,6,11/9/2011,11,2011,Tvetenia vitracies group,25989_11_9_2011_1_First
25967,11-B-104,14280,Little River,41.4058,-73.0926,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,2,11/7/2011,11,2011,Tvetenia vitracies group,25967_11_7_2011_1_First
26030,11-B-168,15886,HOUSATONIC RIVER,41.6475,-73.4838,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,1,11/16/2011,11,2011,Tvetenia vitracies group,26030_11_16_2011_1_First
26018,11-B-152,14458,Still River,41.4389,-73.401,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,15,11/15/2011,11,2011,Tvetenia vitracies group,26018_11_15_2011_1_First
26071,11-B-176,17728,Trout Brook,41.76588,-72.76033,1,Riffle,KN2M2,First,EcoAnalysts,Tvetenia vitracies group,L,4,11/21/2011,11,2011,Tvetenia vitracies group,26071_11_21_2011_1_First
